Model,Reasoning Effort,Config Label,Consensus Avg Score,Avg Cost / Task ($),Total Cost ($),Avg Latency / Task (s),Total Latency (s),Avg Reasoning Tokens / Task,T: Greek (Q),T: Latin (Isidore),T: Aramaic (4Q530),C: Greek Apparatus,C: Latin Apparatus,C: Aramaic Parallels,Tr: Greek (Siloam),Tr: Latin (Seraphim),Lac: Aramaic Vision,A: Greek TEI <w>,A: Latin TEI <abbr>,A: Aramaic Stems,Enc: Greek <teiHeader>
google/gemini-3.8-flash,low,gemini-3.8-flash (low),80.8,0.00662,0.0861,14.9,193.1,0.0,93.5,51.0,79.0,86.0,91.0,32.5,95.0,95.0,91.5,90.5,95.0,82.5,68.5
google/gemini-3.8-flash,high,gemini-3.8-flash (high),76.9,0.01296,0.1685,31.7,412.0,1929.0,86.0,77.5,100.0,96.0,91.0,0.0,98.5,95.0,7.5,84.0,97.5,86.5,80.0
qwen/qwen3.8-max,low,qwen3.8-max (low),82.0,0.01847,0.2401,46.9,609.4,1382.0,89.0,66.5,96.0,94.0,94.0,65.0,91.0,90.0,91.5,88.5,87.5,37.5,75.0
qwen/qwen3.8-max,high,qwen3.8-max (high),84.9,0.12849,1.6703,506.5,6584.4,19685.0,57.5,89.0,100.0,98.0,81.0,86.5,92.5,96.5,91.5,83.5,96.0,64.0,67.5
openai/gpt-5.6-terra,low,gpt-5.6-terra (low),91.0,0.01548,0.2012,18.0,234.2,531.0,92.5,86.5,100.0,94.0,95.0,86.5,84.0,96.0,91.5,93.5,95.0,81.5,87.5
openai/gpt-5.6-terra,high,gpt-5.6-terra (high),89.4,0.02612,0.3396,34.2,444.0,1381.0,88.5,90.0,100.0,96.0,94.0,93.5,66.0,94.0,91.0,96.0,93.5,81.0,78.5
x-ai/grok-4.6,low,grok-4.6 (low),81.5,0.01037,0.1349,24.0,311.4,645.0,80.0,92.5,97.5,97.5,61.0,94.0,88.5,70.0,86.5,72.0,79.0,86.0,55.0
x-ai/grok-4.6,high,grok-4.6 (high),85.7,0.02106,0.2737,56.6,735.9,2492.0,80.0,90.0,100.0,91.0,90.0,88.5,76.5,75.0,92.5,90.0,90.0,78.5,72.5
